genre,cv_f1
sleep,0.8000651138538626
classical,0.7221272525923689
iranian,0.5876656616015365
jazz,0.5860577511117729
hardcore,0.4978393287460442
k-pop,0.48102895893129965
trance,0.4668351419761735
latin,0.4509066346846665
rockabilly,0.42639463241837217
guitar,0.4252326298571025
drum-and-bass,0.4198562775607798
romance,0.4036291851054238
soul,0.3689060837334038
dance,0.35348621114847306
swedish,0.3471384857686227
show-tunes,0.34074659809278907
comedy,0.328241205056275
spanish,0.3258306790192408
groove,0.3180475090665002
reggae,0.31511444916944803
rock,0.3080387685810006
club,0.3036520837806814
disney,0.3033376317319758
latino,0.28249493307335355
dancehall,0.27663894346826
folk,0.27575595415489257
reggaeton,0.27542272924405914
disco,0.27427106334439133
opera,0.27327403056814187
breakbeat,0.2670113356538395
metalcore,0.26115749824575907
rock-n-roll,0.2597978947575722
piano,0.25903066837999106
french,0.2554490392648287
indian,0.2511909084538893
j-pop,0.2483653435766112
indie,0.246369599963981
j-dance,0.24387218835400465
ambient,0.239056256652486
blues,0.23170891510680242
children,0.22947625960485726
death-metal,0.22379269281443195
pop,0.22189862002160182
j-rock,0.21922496195999747
funk,0.2178115803593727
anime,0.21586833116316845
hip-hop,0.21530214871489442
r-n-b,0.208310654479875
pop-film,0.20595669427191168
country,0.20288088600109058
alternative,0.20198651362361217
happy,0.1988578037454235
chicago-house,0.19391971462869026
hard-rock,0.1931715448730374
sertanejo,0.19202449860254456
new-age,0.191829588177568
industrial,0.19167294147980352
garage,0.184770190301358
sad,0.18386866628075899
edm,0.18217577331738985
world-music,0.1797579837511229
progressive-house,0.17480469814578817
techno,0.17329515400775833
british,0.1732430147068857
black-metal,0.17221179244471463
mandopop,0.17090792008600228
idm,0.16855094726062467
electro,0.16565851412010013
house,0.16458570914014287
emo,0.16088531700471997
gospel,0.16039410009559263
hardstyle,0.1594035874712036
german,0.15739130434782608
synth-pop,0.15522320641635817
goth,0.15347440695128484
kids,0.15288417925623912
acoustic,0.1511680157384908
chill,0.14794511158363152
ska,0.14558929632459044
turkish,0.14477498869289912
malay,0.14243332517739174
alt-rock,0.13813991855041566
psych-rock,0.13707243643068162
detroit-techno,0.1345690390851681
minimal-techno,0.1333427660681759
forro,0.13268377789707483
songwriter,0.1312771238574093
indie-pop,0.12993672993672994
honky-tonk,0.1293749006832989
punk,0.12927835540996058
j-idol,0.12596800310060172
punk-rock,0.12408135348952243
cantopop,0.1164202795546079
grindcore,0.11164253335444792
samba,0.11122086741781138
mpb,0.10862415915047494
dubstep,0.10437175727498307
heavy-metal,0.10422002776173664
electronic,0.1026668382226797
grunge,0.10108550303763497
singer-songwriter,0.09912106655527708
tango,0.09866704327926423
party,0.09782065318852358
study,0.09501831501831501
pagode,0.09320427505545473
deep-house,0.09039818159365257
power-pop,0.08894461859979101
metal,0.08584522410609367
afrobeat,0.08579234972677596
brazil,0.07815303285536244
bluegrass,0.0705728962749782
dub,0.06825435123532157
trip-hop,0.06455325140809012
salsa,0.022388591800356506
